Home,Products,Search,Prod_A,Prod_B,Prod_C,Cart,Purchase,Cluster
1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1
1,0,1,1,1,0,1,1,1
1,1,1,0,1,0,0,0,0
1,0,1,0,0,0,1,1,1
1,0,1,0,1,0,0,0,0
1,1,1,0,1,0,1,0,0
1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1
1,0,1,1,0,1,0,0,1
1,0,1,1,0,0,1,1,1
1,1,1,0,0,1,1,0,1
1,0,1,1,1,1,0,0,1
1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1
1,0,1,0,0,0,1,0,1
1,1,0,1,1,0,0,0,1
1,0,0,1,0,0,0,0,1
1,1,1,0,0,1,1,1,1
1,0,1,0,0,1,1,1,1
1,1,0,0,0,0,1,0,1
1,1,0,1,0,0,0,0,1
1,1,0,1,1,1,1,0,1
1,1,1,0,1,1,0,0,0
1,1,0,1,1,1,1,0,1
1,1,0,1,1,0,1,0,1
1,1,1,1,1,1,0,0,0
1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,0,1
1,1,0,0,1,0,1,1,1
1,1,1,0,1,1,0,0,0
1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,0,0,0
1,1,0,1,1,0,1,1,1
0,1,1,0,1,0,1,0,0
0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,1,1,0
0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0
0,1,1,0,1,0,1,0,0
0,1,1,0,1,1,1,1,0
0,0,1,1,0,0,1,1,1
1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,1,0,1
0,1,1,1,0,1,1,1,1
0,1,1,1,0,1,1,0,1
1,1,0,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,1,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,0,1,0,1
1,1,0,1,0,0,0,0,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,0,1
1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1
1,1,0,1,0,0,1,1,1
1,1,1,0,0,1,0,0,0
1,1,0,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1,1
1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,1,1,1
0,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,1
0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,1,1,1
0,0,0,1,1,0,1,1,1
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,1,0,0
